add device 1: /dev/input/event5
  name:     "msm8974-taiko-mtp-snd-card Headset Jack"
add device 2: /dev/input/event4
  name:     "msm8974-taiko-mtp-snd-card Button Jack"
add device 3: /dev/input/event3
  name:     "hs_detect"
add device 4: /dev/input/event1
  name:     "touch_dev"
add device 5: /dev/input/event0
  name:     "qpnp_pon"
add device 6: /dev/input/event2
  name:     "gpio-keys"
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000011b
/dev/input/event1: 0003 0036 000004fc
/dev/input/event1: 0003 003a 00000030
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0036 000004c1
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000111
/dev/input/event1: 0003 0036 0000047c
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000000fc
/dev/input/event1: 0003 0036 00000437
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 000000d4
/dev/input/event1: 0003 0036 000003e9
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 ffffffff
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0039 00000058
/dev/input/event1: 0003 0035 00000164
/dev/input/event1: 0003 0036 00000484
/dev/input/event1: 0003 003a 0000002d
/dev/input/event1: 0003 0030 00000004
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000163
/dev/input/event1: 0003 003a 00000031
/dev/input/event1: 0003 0030 00000005
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000162
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000160
/dev/input/event1: 0003 0036 00000485
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000015e
/dev/input/event1: 0003 0036 00000488
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000015b
/dev/input/event1: 0003 0036 0000048d
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000158
/dev/input/event1: 0003 0036 00000493
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000155
/dev/input/event1: 0003 0036 00000499
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000152
/dev/input/event1: 0003 0036 000004a1
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000150
/dev/input/event1: 0003 0036 000004a9
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000014e
/dev/input/event1: 0003 0036 000004b0
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000014c
/dev/input/event1: 0003 0036 000004b7
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000014a
/dev/input/event1: 0003 0036 000004be
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000148
/dev/input/event1: 0003 0036 000004c5
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000146
/dev/input/event1: 0003 0036 000004cb
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000144
/dev/input/event1: 0003 0036 000004d1
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000142
/dev/input/event1: 0003 0036 000004d9
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 00000141
/dev/input/event1: 0003 0036 000004df
/dev/input/event1: 0000 0000 00000000
/dev/input/event1: 0003 0035 0000013f
/dev/input/event1: 0003 0036 000004e6
/dev/input/event1: 0000 0000 00000000
